STR,N° REQ,Item,DESIGNATION,N° BE,OBS,Chargé d'Affaire,N°  et Situation  de Appel Offre,FOURNISSEUR,N°cde,Item cde,BRC  1,Item BRC,BRC  2,Item BRC2,BRC  3,ITEM BRC3,BRC  4,ITEM BRC4,BRC  5,nbre item BRC5,BRC  6,nbre item BRC6,BRC  7,nbre item BRC7,BRC8,nbre item BRC8,BRC9,nbre item BRC9,BRC10,nbre item BRC10,BRC11,nbre item BRC11,BRC12,nbre item BRC12,BRC13,nbre item BRC13,Champ53,Champ54,Champ55,Champ56,Champ57,Champ58,Champ59,Champ60,Champ61,Champ62,Champ63,Champ64,Champ65,Champ66,Champ67,Champ68,Champ69,Champ70,Champ71,Champ72,Champ73,Champ74,Champ75,Champ76,Champ77,Champ78,Champ79,Champ80,Champ81,Champ82,Champ83,Champ84,Champ85,Champ86,Champ87,Champ88,Champ89,Champ90,Champ91,Champ92,Champ93,Champ94,Champ95,Champ96,Champ97,Champ98,Champ99,Champ100,Champ101,Champ102,Champ103,Champ104,Champ105,Champ106,Champ107,Champ108,Champ109,Champ110,Champ111,Champ112,Champ113,Champ114,Champ115,Champ116,Champ117,Champ118,Champ119,Champ120,Champ121,Champ122,Champ123,Champ124,Champ125,Champ126,Champ127,Champ128,Champ129,Champ130,Champ131,Champ132,Champ133,Champ134,Champ135,Champ136,Champ137,Champ138,Champ139,Champ140,Champ141,Champ142,Champ143,Champ144,DATE,DATEE,DATE 1,DATE 2,DATE 3,DATE BRC4,DATE BRC5,DATE BRC6,DATE BRC7,DATE BRC8,DATE BRC9,DATE BRC10,DATE BRC11,DATE BRC12,DATE BRC13
"EXP","YN938","8","DISQUE DE RUPTURE (CETTE REQUETE ANNULE ET REMPLACE LA YN752)",,"ENCOUR","MME MOULAI","A0NI 009/08/P CAHIER DE CHARGE EN VENTE MEMBRE CEOT MOKHTARI 1er CEOT LE 24 ET 25/08/8 2EME CEOT LE 17ET18/5/9 3EME CEOT LE 11 ET 12/04/11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02/16/08 00:00:00",,,,,,,,,,,,,,
"MNT","YN941","8","DIVERS COURROIE POUR LES STATION HBK-BKH-GLA",,"ENCOUR","MODERES","item08 annulée suite fax hbk n°307 du 13/04/09/ CONTRAT N° A09/DP-AT/120 ENCOUR DE  SIGNATURE","ERL GMZ PARTS/ANNABA","A95607","4","AU 3228","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03/29/08 00:00:00",,"08/12/10 00:00:00",,,,,,,,,,,,
"DEP","YN947","1","BIOCIDE ANTICOR  BC 103 TITRE GRATIEUX",,"ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07/09/08 00:00:00",,,,,,,,,,,,,,
,,,"CHIFFA SAE 40","25",,,,"NAFTAL SPA CHERAGA","YN950/A","12","YL2391","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08/06/08 00:00:00","10/19/08 00:00:00",,,,,,,,,,,,
,,,,,,,,,"YN950/B","5","YL5917","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08/31/09 00:00:00","10/20/09 00:00:00",,,,,,,,,,,,
,,,"TORADA 100","2",,,,"NAFTAL SPA CHERAGA","YN950/A","2",,,"YL2394","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08/06/08 00:00:00",,"10/20/08 00:00:00",,,,,,,,,,,
"EXP","YN951","1","INHIBITEUR GAZ CHIMEC 1038",,"ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09/13/08 00:00:00",,,,,,,,,,,,,,
"MNT","YN956","3","P/R POUR POMPE KSB TYPE DVMX 3X4X9H/HH",,"ENCOUR","MR SAADI","AONI 45/11/M                               Contrat N°E13/DP-AT/007","WIT SAL INC / USA","A90901","97","A9948","1","YA9947","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12/03/08 00:00:00","09/16/13 00:00:00","03/27/14 00:00:00","03/27/14 00:00:00",,,,,,,,,,,
"DEP","YN961","1","MANOMETRE CETTE REQUETE ANNULE L'ITEM 2 DE LA REQ YN859 ET L'ITEM DE LA REQ YN858","1","ENCOUR","D,MOUALEK",,"PRISMA AUTOMATION France","A79791","1","YR2546","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02/21/09 00:00:00","04/25/11 00:00:00","04/05/12 00:00:00",,,,,,,,,,,,
"EXP","YN965","4","PRODUITS CHIMIQUES PREVISION (2010-2011)",,"ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03/21/09 00:00:00",,,,,,,,,,,,,,
,,,,,,,,"NALCO / Italie","YN965/E","240","YR6575","240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11/25/10 00:00:00","06/15/11 00:00:00",,,,,,,,,,,,
,,,,,,,,,"YN965/D","160","YR6570","160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11/24/10 00:00:00","06/10/11 00:00:00",,,,,,,,,,,,
,,,,,,,,,"A79803","320","YJ4710","80","YJ4700","160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02/16/12 00:00:00","08/29/12 00:00:00","09/13/12 00:00:00",,,,,,,,,,,
,,,"TORBA 32","35",,,"586L015580","TORBA 32     /SOLDEE","YN968/A","35","YL5944","35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10/09/09 00:00:00","10/13/09 00:00:00",,,,,,,,,,,,
,,,"TASSILIA EP 90","2",,,"586L017080","TASSILIA EP 90 / SOLDEE","YN968/A","2","YL5918","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10/09/09 00:00:00","10/21/09 00:00:00",,,,,,,,,,,,
,,,"CHELIA 40","10",,,"586L010340","CHELIA 40/SOLDEE","YN968/A","10","YL5896","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10/09/09 00:00:00","10/21/09 00:00:00",,,,,,,,,,,,
"MNT","YN971","35","P/R POUR POMPE P703C KSB GUINARD TYPE VMB X 65 X50 / 17ETAGES",,"ENCOUR","MR SAADI","AONI 019/09/M MEMBRE CEOT MOKHTARI CEOT LE20/21/22 SEPT 2010 RELANCER DANS AONI/045/11/M","WIT SAL INC / USA","A90901","97","YA9948","93","YA2896","2","YA2922","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07/16/09 00:00:00","09/16/13 00:00:00","03/27/14 00:00:00","04/24/14 00:00:00","05/16/14 00:00:00",,,,,,,,,,
"DAT","YN973","88","P/R POUR ENGIN MANUTENTION TYPE CARRY-LIFT",,"SOLDEE","Mr AMARA",,"CECA SUPPLY","A40957","88","YR2609","85","YJ9490","1","YR2578","1","YJ9499","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07/21/09 00:00:00","11/13/11 00:00:00","02/28/12 00:00:00","02/28/12 00:00:00","02/28/12 00:00:00","02/28/12 00:00:00",,,,,,,,,
,,,,,,,,,"YN977/D","40","YJ5398","40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12/26/12 00:00:00","12/26/12 00:00:00",,,,,,,,,,,,
,,,,,,,,,"YN977/C","5","YJ4697","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02/23/12 00:00:00","08/14/12 00:00:00",,,,,,,,,,,,
,,,"TASSILIA EP90","2","SOLDEE",,,,"YN977/A","2","YR1244","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11/10/11 00:00:00","12/15/11 00:00:00",,,,,,,,,,,,
,,,"TORADA 100","2","SOLDEE",,,,"YN977/A","2","YJ9376","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11/10/11 00:00:00","01/00/00 00:00:00",,,,,,,,,,,,
"MNT","YN980","21","P/R LUFKIN",,"ENCOUR",,"AONI 74/11/M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12/05/09 00:00:00",,,,,,,,,,,,,,
"REAL","YN985","2","""TUBE LP 6"""" ET 10""""""",,"ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02/15/10 00:00:00",,,,,,,,,,,,,,
"DEP","YN989","53","MATERIEL WIRE-LINE (CAHIER DE CHARGE APPRO HMD)",,"ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04/05/10 00:00:00",,,,,,,,,,,,,,
"REAL","YN994","50","P/R IONICS",,"ENCOUR","MR SAADI MUSTAPHA","SH-EP-DP-AT/15/15/M","ANNULEE SUITE NOTE REAL DU 14/05/2017  / H-MISLI","remplace par YK180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05/22/10 00:00:00",,,,,,,,,,,,,,
"EXP","YK001","1","DESEMULSIFIANT PHASE TREAT 6181","20","ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07/21/10 00:00:00",,,,,,,,,,,,,,
"EXP","YK005","1","ANTIDIPOT FLOTRON CW 509 (gratuit)",,"ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10/21/10 00:00:00",,,,,,,,,,,,,,
"MNT","YK009","29","P/R POMPE GUINARD",,"ENCOUR","BOUBRED","LANCEMENT APPEL D'OFFRE AU NIVEAU DE HBK","WIT SAL INC USA","YK997Y","129","YB1431","87","YB1429","11","YB1442","1","YB5527","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02/16/11 00:00:00","06/30/16 00:00:00","03/01/17 00:00:00","03/01/17 00:00:00","03/01/17 00:00:00","04/17/17 00:00:00",,,,,,,,,
"MNT","YK017","56","P/R POUR TRANSFORMATEUR 60KV/30KV-60KV/5,5KV-30KV/0,4KV-5,5KV/0,4KV PROJET 60KV",,"ANNULEE",,"LANCEMENT APPEL D'OFFRE AU NIVEAU DE HBK","ANNULE ET REMPLACE PAR YR994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05/23/11 00:00:00",,,,,,,,,,,,,,
"MNT","YK020","60","P/R POUR POSTRE BLINDEE HBK-GLA           VATECH-TH7m 60kv-1250A  PROJET 60KV",,"ANNULEE",,"LANCEMENT APPEL D'OFFRE AU NIVEAU DE HBK","ANNULE ET REMPLACE PAR YR993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05/26/11 00:00:00",,,,,,,,,,,,,,
"MNT","YK026","5","P/R POUR ARMOIRE REGULATEUR DE TENSION TRANSFO HBK-GLA PROJET 60KV",,"ANNULEE",,"LANCEMENT APPEL D'OFFRE AU NIVEAU DE HBK","ANNULE ET REMPLACE PAR YR974",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05/29/11 00:00:00",,,,,,,,,,,,,,
"DEP","YK033","9","""TUBE FIBER GLASS Ø6""""5/8 + PUP JOINT""",,"ENCOUR",,"AONI SH/DP-AT57/14/T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04/20/12 00:00:00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MNT","YN 277","5","INSTRUMENT DE MESURE",,"Annulee",,"A annuler attente réponse utilisat….",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04/12/93 00:00:00",,,,,,,,,,,,,,
"MNT","YN 278","7","REGULATEUR + ENREGISREUR",,"SOLDEE",,,"FOXBORO FRANCE","A86970","7","YV4804",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04/15/93 00:00:00","10/30/93 00:00:00","07/03/95 00:00:00",,,,,,,,,,,,
